name,duration_ms,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature
"Take My Breath Away - Love Theme from ""Top Gun""",255733,5,0.497,0.719,6,-9.397,1,0.0266,0.0613,0.0,0.411,0.547,95.769,audio_features,15MJ5NThPjj6xhPcts8MiY,spotify:track:15MJ5NThPjj6xhPcts8MiY,https://api.spotify.com/v1/tracks/15MJ5NThPjj6xhPcts8MiY,https://api.spotify.com/v1/audio-analysis/15MJ5NThPjj6xhPcts8MiY,4
Fast Car,296800,2,0.711,0.292,4,-15.523,0,0.037,0.313,0.0,0.131,0.194,103.951,audio_features,2M9ro2krNb7nr7HSprkEgo,spotify:track:2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/tracks/2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/audio-analysis/2M9ro2krNb7nr7HSprkEgo,4
Keep on Loving You,200293,2,0.306,0.722,0,-5.963,1,0.034,0.0519,0.0,0.117,0.41,174.732,audio_features,4rcHWl68ai6KvpXlc8vbnE,spotify:track:4rcHWl68ai6KvpXlc8vbnE,https://api.spotify.com/v1/tracks/4rcHWl68ai6KvpXlc8vbnE,https://api.spotify.com/v1/audio-analysis/4rcHWl68ai6KvpXlc8vbnE,4
Eternal Flame,238027,5,0.526,0.358,4,-7.239,0,0.0243,0.525,0.0,0.0942,0.399,78.989,audio_features,5MoDQWMDMaAGDEiWsJfeCi,spotify:track:5MoDQWMDMaAGDEiWsJfeCi,https://api.spotify.com/v1/tracks/5MoDQWMDMaAGDEiWsJfeCi,https://api.spotify.com/v1/audio-analysis/5MoDQWMDMaAGDEiWsJfeCi,3
Slave To Love,266333,2,0.661,0.818,2,-5.9,1,0.0291,0.182,0.000995,0.0527,0.79,147.544,audio_features,1c9dnQbOzw01ID7X2IsYOE,spotify:track:1c9dnQbOzw01ID7X2IsYOE,https://api.spotify.com/v1/tracks/1c9dnQbOzw01ID7X2IsYOE,https://api.spotify.com/v1/audio-analysis/1c9dnQbOzw01ID7X2IsYOE,4
Baby Can I Hold You,193120,5,0.692,0.422,2,-10.533,1,0.0333,0.0811,0.0,0.0848,0.468,74.375,audio_features,2DjWsDGgL1xNbhnr7f6t5F,spotify:track:2DjWsDGgL1xNbhnr7f6t5F,https://api.spotify.com/v1/tracks/2DjWsDGgL1xNbhnr7f6t5F,https://api.spotify.com/v1/audio-analysis/2DjWsDGgL1xNbhnr7f6t5F,4
Against All Odds (Take a Look at Me Now) - 2016 Remaster,206360,10,0.58,0.498,1,-6.901,1,0.0277,0.198,0.0,0.132,0.111,116.271,audio_features,63CHa6rmamv9OsehkRD8oz,spotify:track:63CHa6rmamv9OsehkRD8oz,https://api.spotify.com/v1/tracks/63CHa6rmamv9OsehkRD8oz,https://api.spotify.com/v1/audio-analysis/63CHa6rmamv9OsehkRD8oz,4
Faith - Remastered,193200,1,0.887,0.48,11,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,audio_features,0HEmnAUT8PHznIAAmVXqFJ,spotify:track:0HEmnAUT8PHznIAAmVXqFJ,https://api.spotify.com/v1/tracks/0HEmnAUT8PHznIAAmVXqFJ,https://api.spotify.com/v1/audio-analysis/0HEmnAUT8PHznIAAmVXqFJ,4
Black Velvet,287440,3,0.754,0.366,8,-10.07,1,0.0312,0.273,9.04e-05,0.106,0.469,91.147,audio_features,1KU5EHSz04JhGg3rReGJ0N,spotify:track:1KU5EHSz04JhGg3rReGJ0N,https://api.spotify.com/v1/tracks/1KU5EHSz04JhGg3rReGJ0N,https://api.spotify.com/v1/audio-analysis/1KU5EHSz04JhGg3rReGJ0N,4
Biggest Part of Me,324040,9,0.498,0.723,10,-8.053,1,0.05,0.238,0.0,0.353,0.882,153.227,audio_features,6JHXiRD1QjMK1N6AQEnL04,spotify:track:6JHXiRD1QjMK1N6AQEnL04,https://api.spotify.com/v1/tracks/6JHXiRD1QjMK1N6AQEnL04,https://api.spotify.com/v1/audio-analysis/6JHXiRD1QjMK1N6AQEnL04,4
